iso2c,year,cpi
TZ,1997,40.1116132508189
TZ,1998,45.245801091593
TZ,1999,48.8158908751897
TZ,2000,51.7077252594847
TZ,2001,54.3693638718957
TZ,2002,57.2606362052459
TZ,2003,60.2974919615774
TZ,2004,63.1530614538705
TZ,2005,66.3325465984336
TZ,2006,71.1423013909824
TZ,2007,76.140413998175
TZ,2008,83.9664255610108
TZ,2009,94.1618202905322
TZ,2010,100
TZ,2011,112.690969469917
TZ,2012,130.722757255986
TZ,2013,141.011584221696
TZ,2014,149.657870726625
TH,1960,10.2087747356374
TH,1961,10.9628959123603
TH,1962,11.3680953505995
TH,1963,11.3680953505995
TH,1964,11.2780510309908
TH,1965,11.2968102642145
TH,1966,11.7526596321866
TH,1967,12.2591589299763
TH,1968,12.4786419590319
TH,1969,12.784417461027
TH,1970,12.7731619211135
TH,1971,12.8350673908164
TH,1972,13.4559980114608
TH,1973,15.5429627107157
TH,1974,19.3220102492844
TH,1975,20.3518921548277
TH,1976,21.196354346545
TH,1977,22.8075458087667
TH,1978,24.6148362319262
TH,1979,27.0510566556328
TH,1980,32.3810617451924
TH,1981,36.4814733503094
TH,1982,38.4000631836551
TH,1983,39.8310556007737
TH,1984,40.1755537754284
TH,1985,41.1525152651525
TH,1986,41.9104112490432
TH,1987,42.9441152511863
TH,1988,44.6029307951654
TH,1989,46.9916251784956
TH,1990,49.7472116089692
TH,1991,52.5877040639111
TH,1992,54.7643857821003
TH,1993,56.5782872139246
TH,1994,59.4342171278608
TH,1995,62.8922079425727
TH,1996,66.5431669947127
TH,1997,70.2867508008182
TH,1998,75.905985874725
TH,1999,76.1221103006445
TH,2000,77.3339508316931
TH,2001,78.5921037397244
TH,2002,79.1401335340203
TH,2003,80.5680984909884
TH,2004,82.7910925861603
TH,2005,86.5501138512601
TH,2006,90.563853189765
TH,2007,92.5938790475088
TH,2008,97.6573655976223
TH,2009,96.8314615414306
TH,2010,100
TH,2011,103.808790581396
TH,2012,106.938521293068
TH,2013,109.275006271572
TH,2014,111.345922613126
TL,2002,66.5193311321761
TL,2003,71.2855469166047
TL,2004,73.5934264352587
TL,2005,74.4115454254981
TL,2006,77.3405048460967
TL,2007,85.3072744701248
TL,2008,93.0397273405051
TL,2009,93.662796889978
TL,2010,100
TL,2011,113.499840238577
TL,2012,126.89317286186
TL,2013,141.050165086804
TL,2014,141.675790819044
TG,1966,9.57594812104309
TG,1967,9.35389715002784
TG,1968,9.3816535214857
TG,1969,9.94603307258099
TG,1970,10.3916770350193
TG,1971,11.0663110612294
TG,1972,11.9213615013837
TG,1973,12.3523562678622
TG,1974,13.9374021863363
TG,1975,16.4478348729315
TG,1976,18.3624830546765
TG,1977,22.4861483360531
TG,1978,22.5857109507515
TG,1979,24.2885044363803
TG,1980,27.2776559963881
TG,1981,32.6558556853453
TG,1982,36.290345745647
TG,1983,39.685476369242
TG,1984,38.2859169658225
TG,1985,37.5912517819909
TG,1986,39.1417462907981
TG,1987,39.1628862980286
TG,1988,39.1037852025455
TG,1989,38.7755468107089
TG,1990,39.1692510313882
TG,1991,39.320868072493
TG,1992,39.8689170771452
TG,1993,39.4674842516721
TG,1994,54.9240432997661
TG,1995,63.9499878516398
TG,1996,66.9476435321854
TG,1997,72.471376496887
TG,1998,73.1767637968093
